Pocket Set	Molecule name	Average docking ranking	# of heavy atoms
PDB-PD	InterBioScreen STOCK5S-48304	63.6909734267675	33
PDB-PD	Chem T&I PMOS-0027433	40.20446818844099	33
PDB-PD	Lithuania 1067744	56.878651217650734	28
PDB-PD	Maybridge HTS 06299	54.92895302851592	24
PDB-PD	InterBioScreen STOCK5S-05837	79.03115243183237	31
PDB-PD	Life Chemicals F1608-0478	59.83362242420038	28
PDB-PD	Chemdiv 1416-0529	78.19711371678346	28
PDB-PD	Chemical Block A3577/0151844	57.46631513217235	25
PDB-PD	Comgenex CGX-0740668	49.26392839797405	29
PDB-PD	Asinex ASN 06745065	78.0117255255672	22
PDB-PD	Life Chemicals F0497-0082	71.78193297717338	30
PDB-PD	InnovaPharm STT-00192300	47.250607090820786	26
PDB-PD	Tripos 1534-05651	53.461874696454586	27
PDB-PD	Chembridge 5859646	91.89669048775411	25
PDB-PD	Specs AK-968/37053096	81.06591271768542	24
PDB-PD	InterBioScreen STOCK3S-07953	65.03406646777215	24
PDB-PD	Maybridge RJF 01152	72.72767640324707	21
PDB-PD	Tripos 1518-03381	59.07416915284812	27
PDB-PD	Specs AG-205/07903010	62.26517727051967	26
PDB-PD	Asinex ASN 04479736	70.43620342746132	28
PDB-PD	Asinex ASN 05110337	53.77471726913203	32
PDB-PD	Chem T&I AMCLME-05084	62.555123846527444	22
PDB-PD	Bionet 10W-0283	61.84736002220218	20
PDB-PD	ASDI 100018405	60.99840421841393	19
AF2-PD	Enamine T0505-3993	75.91339047264145	26
AF2-PD	Chem T&I AMSACS-17229	61.9190422955096	22
AF2-PD	Chemical Block A3692/0156694	71.88233650083846	25
AF2-PD	Life Chemicals F0778-0231	59.46506428172163	30
AF2-PD	Princeton Biomolecular OSSK_459353	88.19626110179492	26
AF2-PD	Toslab 44086	56.37190236631265	23
AF2-PD	Specs AM-900/15051004	68.50987516303336	28
AF2-PD	Life Chemicals F2584-0097	60.17483386125085	26
AF2-PD	Asinex ASN 06235439	66.72160114278616	28
AF2-PD	Specs AA-504/36954121	65.50664554996584	28
AF2-PD	Specs AP-866/42442546	66.47167877771567	25
AF2-PD	EMC Microcollections 009B3204	76.84432643935159	28
AF2-PD	Chembridge 9014479	64.84171790572015	23
AF2-PD	Chem T&I NSB 0071574	72.09008757220049	30
AF2-PD	Chem T&I AMSACS-12929	59.42031550835352	21
AF2-PD	Life Chemicals F0396-0052	55.53493571827837	27
AF2-PD	Chem T&I AMSACS-08712	68.99928575864853	23
AF2-PD	Life Chemicals F0560-0107	36.61533445127632	28
AF2-PD	Chemdiv 8005-4355	77.16200857089622	28
AF2-PD	InterBioScreen STOCK5S-70232	61.67769082665673	29
AF2-PD	Chembridge 5707467	65.32451400534129	28
AF2-PD	Asinex ASN 04371767	68.76917582758834	30
AF2-PD	A-Synthese-Biotech EX-14747	56.627010744674244	31
AF2-PD	InterBioScreen STOCK3S-81928	63.997670952114774	29
AF2-PD	Nanosyn NS61821	57.579187628097635	29
AF2-PD	Asinex ASN 05317597	70.60443450717347	29
AF2-PD	Chem T&I AMSACS-11579	82.22014160611143	20
AF2-PD	Bionet 8K-348S	71.61769455313335	28
AF2-PD	InterBioScreen STOCK5S-22526	73.19595056207689	26
AF2-PD	Asinex ASN 05343028	78.01015464877958	27
AF2-PD	Asinex ASN 03365236	51.29814918328054	28
