Pocket Set	Cosine distance threshold	# of artificially included outlier values	Mean proportion (%)	Min proportion (%)	Max proportion (%)	Standard Deviation (%)
PDB-LIG	0.15	72	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	73	0.0	0.0	0.0	0.0
PDB-LIG	0.15	74	0.0	0.0	0.0	0.0
PDB-LIG	0.15	75	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.15	76	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.15	77	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.15	78	0.0004000000000000001	0.0	0.002	0.00066332495807108
PDB-LIG	0.15	79	0.0007000000000000001	0.0	0.003	0.0010049875621120892
PDB-LIG	0.15	80	0.0008000000000000001	0.0	0.003	0.0009797958971132711
PDB-LIG	0.15	81	0.0013000000000000002	0.0	0.004	0.001268857754044952
PDB-LIG	0.15	82	0.0023	0.001	0.004	0.0010049875621120892
PDB-LIG	0.15	83	0.0039000000000000007	0.002	0.006	0.0015132745950421557
PDB-LIG	0.15	84	0.005399999999999999	0.002	0.01	0.0024166091947189147
PDB-LIG	0.15	85	0.0082	0.005	0.015	0.003370459909270543
PDB-LIG	0.15	86	0.0137	0.006999999999999999	0.025	0.005568662316930342
PDB-LIG	0.15	87	0.0193	0.011000000000000001	0.032	0.005532630477449222
PDB-LIG	0.15	88	0.030600000000000002	0.022000000000000002	0.04	0.0060695963621974075
PDB-LIG	0.15	89	0.04869999999999999	0.037	0.055999999999999994	0.006083584469702052
PDB-LIG	0.15	90	0.0813	0.064	0.095	0.009980480950335009
PDB-LIG	0.15	91	0.1342	0.11499999999999999	0.155	0.014176036117335478
PDB-LIG	0.15	92	0.21669999999999998	0.187	0.23900000000000002	0.014635914730552382
PDB-LIG	0.15	93	0.36180000000000007	0.34299999999999997	0.385	0.015282669923805857
PDB-LIG	0.15	94	0.6057000000000001	0.5700000000000001	0.652	0.024621332214159325
PDB-LIG	0.15	95	1.0154	0.98	1.0630000000000002	0.02659398428216427
PDB-LIG	0.15	96	1.6996	1.645	1.771	0.03628829012229705
PDB-LIG	0.15	97	2.830800000000001	2.752	2.915	0.048649357652491135
PDB-LIG	0.15	98	4.6909	4.627	4.756	0.0428612878947891
PDB-LIG	0.15	99	7.6475	7.571999999999999	7.774	0.07020149571056171
PDB-LIG	0.15	100	12.240599999999999	12.099	12.403	0.09954918382387677
PDB-LIG	0.15	101	19.0798	18.919	19.338	0.10639999999999997
PDB-LIG	0.15	102	28.908199999999994	28.762999999999998	29.004	0.06641656419900104
PDB-LIG	0.15	103	42.0029	41.562	42.16	0.16799252959581254
PDB-LIG	0.15	104	57.8862	57.711	58.06400000000001	0.11598258489962977
PDB-LIG	0.15	105	74.6181	74.476	74.857	0.11830676227502707
PDB-LIG	0.15	106	88.981	88.849	89.137	0.09015763972065834
PDB-LIG	0.15	107	97.51329999999999	97.418	97.635	0.05992003004004533
PDB-LIG	0.15	108	100.0	100.0	100.0	0.0
PDB-LIG	0.15	109	100.0	100.0	100.0	0.0
PDB-LIG	0.15	110	100.0	100.0	100.0	0.0
PDB-LIG	0.15	111	100.0	100.0	100.0	0.0
PDB-LIG	0.15	112	100.0	100.0	100.0	0.0
PDB-LIG	0.15	113	100.0	100.0	100.0	0.0
