Pocket Set	Molecule name	Average docking ranking	MW heavy atoms	MW exact
PDB-PD	Chembridge 9014479	62.28890584888642	298.2	315.13
PDB-PD	Chem T&I NSB 0071574	73.58343162422813	427.76	446.08
PDB-PD	Chem T&I AMSACS-12929	59.52889752306945	298.23	319.13
PDB-PD	Life Chemicals F0396-0052	55.52404079650316	362.31	381.11
PDB-PD	Chem T&I AMSACS-08712	67.7921321029626	334.32	351.08
PDB-PD	Life Chemicals F0560-0107	39.86845209186151	355.26	374.14
PDB-PD	Chemdiv 8005-4355	77.23326163879831	418.17	435.06
PDB-PD	InterBioScreen STOCK5S-70232	59.36127107472421	408.38	430.1
PDB-PD	Chembridge 5707467	64.92104350239367	372.32	394.14
PDB-PD	Asinex ASN 04371767	68.96815375008673	400.33	420.13
PDB-PD	A-Synthese-Biotech EX-14747	56.027058905155066	413.74	429.09
PDB-PD	InterBioScreen STOCK3S-81928	63.59987511274544	366.28	387.18
PDB-PD	Nanosyn NS61821	58.6228404912232	388.32	410.14
PDB-PD	Asinex ASN 05317597	72.35960591133005	396.3	412.08
PDB-PD	Chem T&I AMSACS-11579	79.38111427183793	342.13	357.01
PDB-PD	Bionet 8K-348S	71.06535766322071	419.2	434.03
PDB-PD	InterBioScreen STOCK5S-22526	73.20967182404773	359.66	372.06
PDB-PD	Asinex ASN 05343028	76.69971553458683	388.35	404.06
PDB-PD	Asinex ASN 03365236	53.165128703254005	377.31	399.14
PDB-PD	Life Chemicals F0566-0293	67.74987858183584	413.37	433.09
PDB-PD	EMC Microcollections 001A3586	60.352182057864425	396.35	418.15
PDB-PD	Chem T&I AMSACS-01505	61.95399986123638	371.71	383.03
PDB-PD	Chem T&I ARAK0118211	68.59245125927981	348.3	372.15
PDB-PD	Chembridge 7634772	60.61624921945466	397.35	415.13
PDB-PD	Chem T&I IVK/0000805	57.09123707763824	332.3	359.18
PDB-PD	InterBioScreen STOCK5S-68320	69.69194477208076	371.27	390.15
PDB-PD	InterBioScreen STOCK3S-83770	53.43439950045098	362.28	383.16
PDB-PD	Life Chemicals F0529-0304	71.46208284187885	346.33	361.06
PDB-PD	Chem T&I AMSACS-12205	52.81093457295497	359.73	376.08
PDB-PD	Nanosyn NS40942	59.26982585166169	360.31	380.12
PDB-PD	Comgenex CGX-3127127	66.13258863525984	407.78	428.11
PDB-PD	Pharmeks PHAR059863	73.5767709706515	324.28	340.1
PDB-PD	Lithuania 1050567	44.45278567959481	387.74	401.04
PDB-PD	Chem T&I AMCLME-04601	57.60133213071533	385.75	408.11
PDB-PD	InterBioScreen STOCK4S-52524	52.032678831610355	390.3	421.25
PDB-PD	Cerep CER0136666	80.83501006036218	352.27	378.21
PDB-PD	Asinex BAS 02903336	64.81801151738014	427.76	444.05
PDB-PD	Life Chemicals F0417-0114	61.08429889682925	403.81	418.03
PDB-PD	Life Chemicals F1359-1195	68.36585027405815	409.79	425.03
PDB-PD	Pyxis Discovery PYX 00003417	48.27447443280372	403.31	425.18
PDB-PD	Asinex ASN 09961559	50.432387428016376	358.32	383.17
PDB-PD	Pyxis Discovery PYX 00004219	68.7301741483383	389.26	411.16
PDB-PD	Asinex ASN 03271999	86.56830639006452	375.23	390.12
PDB-PD	InterBioScreen STOCK4S-65808	89.94171928120447	380.16	396.03
PDB-PD	Life Chemicals F0579-0521	59.95212655241796	409.38	427.08
PDB-PD	Chem T&I UZI/1102918	59.88468743495456	372.34	390.07
PDB-PD	Asinex ASN 06916822	52.821758135017	368.27	394.21
PDB-PD	Asinex ASN 04361294	62.610282383958925	380.39	400.06
PDB-PD	Tripos 1557-10610	86.59709984042185	326.27	347.12
PDB-PD	Maybridge ML 00307	63.756053562755845	256.18	268.11
PDB-PD	Bionet 10X-0864	61.20356622493582	367.77	386.05
PDB-PD	Tripos 1526-22023	85.95823215152987	326.27	351.16
PDB-PD	InterBioScreen STOCK5S-13559	61.88857281620759	361.73	375.04
PDB-PD	Otava 0120630218	80.57295497120656	334.08	346.01
PDB-PD	Asinex ASN 02617640	64.04766530215777	378.38	397.1
PDB-PD	Chem T&I AMSACS-08601	68.68001110108929	345.73	363.08
PDB-PD	Tripos 1557-13590	77.66960382987581	346.3	365.11
PDB-PD	EMC Microcollections 013A0485	73.08582529660723	305.7	324.09
PDB-PD	Asinex ASN 06601079	59.26649552487338	376.36	400.17
PDB-PD	Cerep CER0116166	47.475820439880664	375.35	388.05
PDB-PD	Tripos 1554-07659	89.64747103309512	328.26	348.11
PDB-PD	Princeton Biomolecular OSSK_115610	77.85991812946645	286.25	305.11
PDB-PD	Pyxis Discovery PYX 00000172	63.824672170956774	307.22	335.21
PDB-PD	Chem T&I IVK/0000448	83.86539929230555	348.3	372.15
PDB-PD	Life Chemicals F0577-0037	47.42350655658086	370.33	395.17
PDB-PD	Life Chemicals F0642-0697	53.45410393394852	317.26	331.08
PDB-PD	Chem T&I AMSACS-26179	48.95018386179144	272.24	290.11
PDB-PD	Tripos 1527-02989	62.63616179837646	278.63	292.08
PDB-PD	Enamine T0503-9700	49.84500104072712	302.23	321.16
PDB-PD	Tripos 1513-09513	69.68438215499896	362.31	387.16
PDB-PD	Chembridge 7916788	93.97980989384584	306.3	323.06
PDB-PD	Asinex ASN 03798095	55.60535627558454	362.31	394.22
PDB-PD	Life Chemicals F1895-0070	58.013113161728995	425.39	441.07
PDB-PD	Asinex BAS 05101595	58.28162075903698	372.3	396.18
PDB-PD	InterBioScreen STOCK4S-15128	74.70373967945605	422.38	445.11
PDB-PD	Asinex ASN 05588575	51.053979046693954	400.33	418.11
PDB-PD	Biofocus 170_4347_0164	68.51314785263304	322.64	336.08
PDB-PD	InterBioScreen STOCK5S-06824	63.317629917435646	325.67	341.09
PDB-PD	Biofocus 119_0552_0135	83.36113231110802	378.29	401.19
PDB-PD	Cerep CER0099275	54.970304586137516	392.22	411.13
PDB-PD	Chemical Block A3816/0161993	69.68181502809963	344.31	362.12
PDB-PD	Biofocus 170_0148_0349	40.6393533615486	366.28	387.17
PDB-PD	Life Chemicals F0631-0161	38.330534933740374	348.3	373.17
PDB-PD	Chembridge 9001855	68.52889752306945	425.75	449.15
PDB-PD	Maybridge HTS 07015	73.81683202664262	322.21	342.13
PDB-PD	Tripos 1554-03007	66.94296815375009	316.68	329.03
PDB-PD	Asinex ASN 06116813	68.26795254284326	414.32	437.19
PDB-PD	Tripos 1559-05871	53.82488031638105	309.11	323.01
PDB-PD	Specs AN-648/40682295	70.83799347811004	264.2	282.14
PDB-PD	ASDI 150016433	56.97321862207729	126.09	133.05
PDB-PD	Tripos 1557-01752	54.40137375980018	354.71	372.08
PDB-PD	Tripos 1518-06794	69.34843544022758	392.38	415.13
PDB-PD	InterBioScreen STOCK5S-48304	63.6909734267675	414.32	437.17
PDB-PD	Chem T&I PMOS-0027433	40.20446818844099	424.29	444.15
PDB-PD	Lithuania 1067744	56.878651217650734	359.25	378.14
PDB-PD	Maybridge HTS 06299	54.92895302851592	341.25	352.05
PDB-PD	InterBioScreen STOCK5S-05837	79.03115243183237	421.71	446.14
PDB-PD	Life Chemicals F1608-0478	59.83362242420038	350.27	377.21
PDB-PD	Chemdiv 1416-0529	78.19711371678346	354.26	377.17
PDB-PD	Chemical Block A3577/0151844	57.46631513217235	338.28	361.15
PDB-PD	Comgenex CGX-0740668	49.26392839797405	371.27	396.2
PDB-PD	Asinex ASN 06745065	78.0117255255672	276.22	296.17
PDB-PD	Life Chemicals F0497-0082	71.78193297717338	382.27	405.18
PDB-PD	InnovaPharm STT-00192300	47.250607090820786	332.23	355.18
PDB-PD	Tripos 1534-05651	53.461874696454586	380.37	402.11
PDB-PD	Chembridge 5859646	91.89669048775411	320.22	344.17
PDB-PD	Specs AK-968/37053096	81.06591271768542	341.25	354.08
PDB-PD	InterBioScreen STOCK3S-07953	65.03406646777215	308.21	324.12
