Pocket Set	Outlier molecules	Proportion of PocketVec descriptors with <=N outlier molecules
AF2-LIG	53	0.9750889679715302
AF2-LIG	54	0.9765124555160143
AF2-LIG	55	0.9779359430604982
AF2-LIG	56	0.9786476868327402
AF2-LIG	57	0.9793594306049822
AF2-LIG	58	0.9814946619217082
AF2-LIG	59	0.9814946619217082
AF2-LIG	60	0.9814946619217082
AF2-LIG	61	0.9814946619217082
AF2-LIG	62	0.9829181494661922
AF2-LIG	63	0.9829181494661922
AF2-LIG	64	0.9829181494661922
AF2-LIG	65	0.9829181494661922
AF2-LIG	66	0.9829181494661922
AF2-LIG	67	0.9850533807829182
AF2-LIG	68	0.9857651245551602
AF2-LIG	69	0.9857651245551602
AF2-LIG	70	0.9857651245551602
AF2-LIG	71	0.9857651245551602
AF2-LIG	72	0.9864768683274021
AF2-LIG	73	0.9871886120996441
AF2-LIG	74	0.9879003558718861
AF2-LIG	75	0.9886120996441281
AF2-LIG	76	0.9886120996441281
AF2-LIG	77	0.9893238434163701
AF2-LIG	78	0.9893238434163701
AF2-LIG	79	0.9893238434163701
AF2-LIG	80	0.9893238434163701
AF2-LIG	81	0.9893238434163701
AF2-LIG	82	0.9893238434163701
AF2-LIG	83	0.9900355871886121
AF2-LIG	84	0.9900355871886121
AF2-LIG	85	0.9900355871886121
AF2-LIG	86	0.9907473309608541
AF2-LIG	87	0.9907473309608541
AF2-LIG	88	0.9907473309608541
AF2-LIG	89	0.9914590747330961
AF2-LIG	90	0.9914590747330961
AF2-LIG	91	0.9914590747330961
AF2-LIG	92	0.9921708185053381
AF2-LIG	93	0.9921708185053381
AF2-LIG	94	0.9921708185053381
AF2-LIG	95	0.9921708185053381
AF2-LIG	96	0.9921708185053381
AF2-LIG	97	0.9921708185053381
AF2-LIG	98	0.9921708185053381
AF2-LIG	99	0.9921708185053381
AF2-LIG	100	0.9921708185053381
AF2-LIG	101	0.9928825622775801
AF2-LIG	102	0.9928825622775801
AF2-LIG	103	0.993594306049822
AF2-LIG	104	0.9950177935943061
AF2-LIG	105	0.9950177935943061
AF2-LIG	106	0.99644128113879
AF2-LIG	107	0.99644128113879
AF2-LIG	108	0.99644128113879
AF2-LIG	109	0.9971530249110321
AF2-LIG	110	0.9971530249110321
AF2-LIG	111	0.9971530249110321
AF2-LIG	112	0.9971530249110321
AF2-LIG	113	0.9971530249110321
AF2-LIG	114	0.9971530249110321
AF2-LIG	115	0.9971530249110321
AF2-LIG	116	0.9971530249110321
AF2-LIG	117	0.997864768683274
AF2-LIG	118	0.998576512455516
AF2-LIG	119	0.998576512455516
AF2-LIG	120	0.998576512455516
AF2-LIG	121	0.998576512455516
AF2-LIG	122	0.998576512455516
AF2-LIG	123	0.999288256227758
AF2-LIG	124	0.999288256227758
AF2-LIG	125	1.0
AF2-LIG	126	1.0
AF2-LIG	127	1.0
AF2-PD	0	0.9812434010309918
AF2-PD	1	0.9869573318427427
AF2-PD	2	0.9893484876715732
AF2-PD	3	0.9905285386000869
AF2-PD	4	0.9913359418669648
AF2-PD	5	0.9920501832184336
AF2-PD	6	0.9926402086826905
AF2-PD	7	0.9930128563443265
AF2-PD	8	0.9934476119495683
AF2-PD	9	0.9937270976957953
AF2-PD	10	0.9939444754984162
AF2-PD	11	0.9942239612446432
AF2-PD	12	0.9944723930190671
AF2-PD	13	0.9947208247934911
AF2-PD	14	0.9949382025961121
AF2-PD	15	0.995062418483324
AF2-PD	16	0.995217688342339
AF2-PD	17	0.995310850257748
AF2-PD	18	0.995590336003975
AF2-PD	19	0.9958387677783989
AF2-PD	20	0.9959940376374138
AF2-PD	21	0.9962424694118378
AF2-PD	22	0.9962424694118378
AF2-PD	23	0.9963666852990497
AF2-PD	24	0.9963666852990497
AF2-PD	25	0.9964287932426558
AF2-PD	26	0.9964287932426558
AF2-PD	27	0.9964598472144587
AF2-PD	28	0.9965219551580647
AF2-PD	29	0.9965840631016707
AF2-PD	30	0.9966151170734737
AF2-PD	31	0.9966461710452766
AF2-PD	32	0.9967082789888827
AF2-PD	33	0.9967082789888827
AF2-PD	34	0.9968324948760946
AF2-PD	35	0.9969256567915036
AF2-PD	36	0.9969567107633066
AF2-PD	37	0.9970498726787156
AF2-PD	38	0.9971119806223216
AF2-PD	39	0.9971740885659276
AF2-PD	40	0.9972361965095335
AF2-PD	41	0.9972983044531396
AF2-PD	42	0.9973914663685486
AF2-PD	43	0.9974225203403515
AF2-PD	44	0.9974535743121545
AF2-PD	45	0.9974846282839576
AF2-PD	46	0.9974846282839576
AF2-PD	47	0.9975156822557605
AF2-PD	48	0.9976709521147755
AF2-PD	49	0.9977020060865784
AF2-PD	50	0.9977020060865784
AF2-PD	51	0.9977641140301845
AF2-PD	52	0.9977641140301845
AF2-PD	53	0.9977951680019874
AF2-PD	54	0.9978883299173964
AF2-PD	55	0.9979193838891994
AF2-PD	56	0.9980746537482144
AF2-PD	57	0.9981057077200174
AF2-PD	58	0.9981367616918204
AF2-PD	59	0.9982299236072294
AF2-PD	60	0.9982299236072294
AF2-PD	61	0.9982299236072294
AF2-PD	62	0.9982609775790323
AF2-PD	63	0.9982920315508353
AF2-PD	64	0.9982920315508353
AF2-PD	65	0.9982920315508353
AF2-PD	66	0.9983230855226384
AF2-PD	67	0.9983541394944413
AF2-PD	68	0.9983541394944413
AF2-PD	69	0.9983541394944413
AF2-PD	70	0.9983851934662443
AF2-PD	71	0.9983851934662443
AF2-PD	72	0.9984473014098503
AF2-PD	73	0.9985094093534563
AF2-PD	74	0.9985404633252593
AF2-PD	75	0.9985715172970623
AF2-PD	76	0.9986025712688653
AF2-PD	77	0.9986025712688653
AF2-PD	78	0.9986646792124713
AF2-PD	79	0.9986646792124713
AF2-PD	80	0.9986646792124713
AF2-PD	81	0.9987267871560772
AF2-PD	82	0.9987267871560772
AF2-PD	83	0.9987267871560772
AF2-PD	84	0.9987578411278802
AF2-PD	85	0.9987888950996833
AF2-PD	86	0.9988199490714862
AF2-PD	87	0.9988199490714862
AF2-PD	88	0.9988820570150923
AF2-PD	89	0.9989131109868952
AF2-PD	90	0.9989441649586982
AF2-PD	91	0.9989752189305012
AF2-PD	92	0.9989752189305012
AF2-PD	93	0.9989752189305012
AF2-PD	94	0.9990062729023043
AF2-PD	95	0.9990373268741072
AF2-PD	96	0.9990373268741072
AF2-PD	97	0.9990683808459102
AF2-PD	98	0.9990994348177132
AF2-PD	99	0.9990994348177132
AF2-PD	100	0.9990994348177132
AF2-PD	101	0.9990994348177132
AF2-PD	102	0.9990994348177132
AF2-PD	103	0.9991615427613192
AF2-PD	104	0.9991615427613192
AF2-PD	105	0.9992236507049251
