Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_244	CN1C(=O)C[C@@H]2[C@@H]1CC[N@H+]2C	InChI=1S/C8H14N2O/c1-9-4-3-6-7(9)5-8(11)10(6)2/h6-7H,3-5H2,1-2H3/p+1/t6-,7+/m0/s1	QHKFDHCUVWBEDI-NKWVEPMBSA-O	155.221
Schrodinger_fragment_50_a	N=C([O-])c1ccccc1	InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)/p-1	KXDAEFPNCMNJSK-UHFFFAOYSA-M	120.13099999999999
Schrodinger_fragment_208_a	[O-]c1ncccn1	InChI=1S/C4H4N2O/c7-4-5-2-1-3-6-4/h1-3H,(H,5,6,7)/p-1	VTGOHKSTWXHQJK-UHFFFAOYSA-M	95.08099999999999
Schrodinger_fragment_405	CN1C[C@@H]2NCCC[N@@H+]2CC1=O	InChI=1S/C8H15N3O/c1-10-5-7-9-3-2-4-11(7)6-8(10)12/h7,9H,2-6H2,1H3/p+1/t7-/m1/s1	OUTJKHQOQWZXJA-SSDOTTSWSA-O	170.23600000000002
Schrodinger_fragment_23	CS(N)(=O)=O	InChI=1S/CH5NO2S/c1-5(2,3)4/h1H3,(H2,2,3,4)	HNQIVZYLYMDVSB-UHFFFAOYSA-N	95.12299999999999
Schrodinger_fragment_139	Cn1c[nH+]c2cccnc21	InChI=1S/C7H7N3/c1-10-5-9-6-3-2-4-8-7(6)10/h2-5H,1H3/p+1	XAUBEYHIVLSHOG-UHFFFAOYSA-O	134.162
Schrodinger_fragment_393	C[N@H+]1CCCN2CC(=O)NC[C@@H]21	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m1/s1	VXCAQXFQANYBOR-MRVPVSSYSA-O	170.23600000000002
Schrodinger_fragment_52	NS(=O)(=O)c1ccccc1	InChI=1S/C6H7NO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H2,7,8,9)	KHBQMWCZKVMBLN-UHFFFAOYSA-N	157.19400000000002
Schrodinger_fragment_190_a	CN1C(=O)CN=C1[O-]	InChI=1S/C4H6N2O2/c1-6-3(7)2-5-4(6)8/h2H2,1H3,(H,5,8)/p-1	MZQQHYDUINOMDG-UHFFFAOYSA-M	113.09599999999999
Schrodinger_fragment_66	C1C[NH2+]CCN1	InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2/p+1	GLUUGHFHXGJENI-UHFFFAOYSA-O	87.14599999999999
Schrodinger_fragment_65	CS(=O)(=O)N1CCCCC1	InChI=1S/C6H13NO2S/c1-10(8,9)7-5-3-2-4-6-7/h2-6H2,1H3	JJWOMLRJNXMLSO-UHFFFAOYSA-N	163.242
