Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_71_a	CS(=O)(=O)N1CC[NH2+]CC1	InChI=1S/C5H12N2O2S/c1-10(8,9)7-4-2-6-3-5-7/h6H,2-5H2,1H3/p+1	ZZAKLGGGMWORRT-UHFFFAOYSA-O	165.238
Schrodinger_fragment_72	CN1CCN(S(C)(=O)=O)CC1	InChI=1S/C6H14N2O2S/c1-7-3-5-8(6-4-7)11(2,9)10/h3-6H2,1-2H3	YDOGEBDDNZDNJY-UHFFFAOYSA-N	178.257
Schrodinger_fragment_72_a	C[NH+]1CCN(S(C)(=O)=O)CC1	InChI=1S/C6H14N2O2S/c1-7-3-5-8(6-4-7)11(2,9)10/h3-6H2,1-2H3/p+1	YDOGEBDDNZDNJY-UHFFFAOYSA-O	179.26500000000001
Schrodinger_fragment_73	c1ccncc1	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	JUJWROOIHBZHMG-UHFFFAOYSA-N	79.10199999999999
Schrodinger_fragment_73_a	c1cc[nH+]cc1	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H/p+1	JUJWROOIHBZHMG-UHFFFAOYSA-O	80.10999999999999
Schrodinger_fragment_74	c1ccoc1	InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H	YLQBMQCUIZJEEH-UHFFFAOYSA-N	68.07499999999999
Schrodinger_fragment_75	c1ccsc1	InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H	YTPLMLYBLZKORZ-UHFFFAOYSA-N	84.14299999999999
Schrodinger_fragment_76	c1c[nH]cn1	InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)	RAXXELZNTBOGNW-UHFFFAOYSA-N	68.079
Schrodinger_fragment_76_a	c1c[nH+]c[nH]1	InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)/p+1	RAXXELZNTBOGNW-UHFFFAOYSA-O	69.08699999999999
Schrodinger_fragment_77	Cn1cc[nH+]c1	InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3/p+1	MCTWTZJPVLRJOU-UHFFFAOYSA-O	83.11399999999999
Schrodinger_fragment_77_a	Cn1ccnc1	InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3	MCTWTZJPVLRJOU-UHFFFAOYSA-N	82.106
Schrodinger_fragment_78	c1ccc2[nH]cnc2c1	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)	HYZJCKYKOHLVJF-UHFFFAOYSA-N	118.13899999999998
Schrodinger_fragment_78_a	c1ccc2[nH+]c[nH]c2c1	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)/p+1	HYZJCKYKOHLVJF-UHFFFAOYSA-O	119.14699999999998
Schrodinger_fragment_79	Cn1cnc2ccccc21	InChI=1S/C8H8N2/c1-10-6-9-7-4-2-3-5-8(7)10/h2-6H,1H3	FGYADSCZTQOAFK-UHFFFAOYSA-N	132.166
Schrodinger_fragment_79_a	Cn1c[nH+]c2ccccc21	InChI=1S/C8H8N2/c1-10-6-9-7-4-2-3-5-8(7)10/h2-6H,1H3/p+1	FGYADSCZTQOAFK-UHFFFAOYSA-O	133.17399999999998
Schrodinger_fragment_80	c1cc[nH]c1	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	KAESVJOAVNADME-UHFFFAOYSA-N	67.091
Schrodinger_fragment_81	Cn1cccc1	InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3	OXHNLMTVIGZXSG-UHFFFAOYSA-N	81.11799999999998
Schrodinger_fragment_82	c1cscn1	InChI=1S/C3H3NS/c1-2-5-3-4-1/h1-3H	FZWLAAWBMGSTSO-UHFFFAOYSA-N	85.13099999999999
Schrodinger_fragment_83	c1cocn1	InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H	ZCQWOFVYLHDMMC-UHFFFAOYSA-N	69.06299999999999
Schrodinger_fragment_84	c1cnoc1	InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H	CTAPFRYPJLPFDF-UHFFFAOYSA-N	69.063
Schrodinger_fragment_85	c1cn[nH]c1	InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)	WTKZEGDFNFYCGP-UHFFFAOYSA-N	68.079
Schrodinger_fragment_86	Cn1cccn1	InChI=1S/C4H6N2/c1-6-4-2-3-5-6/h2-4H,1H3	UQFQONCQIQEYPJ-UHFFFAOYSA-N	82.106
